4992.7,1479.5,5399.7,1430.1,5806.7,1380.7
4993.9,1489.4,5401.4,1444.1,5808.8,1398.8
4994.9,1499.4,5402.8,1458.1,5810.8,1416.9
4995.9,1509.3,5404.2,1472.2,5812.5,1435
4996.7,1519.3,5405.4,1486.2,5814.1,1453.1
4997.5,1529.3,5406.5,1500.3,5815.4,1471.3
4998.2,1539.2,5407.4,1514.3,5816.6,1489.4
4998.7,1549.2,5408.2,1528.4,5817.7,1507.6
4999.2,1559.2,5408.8,1542.5,5818.5,1525.8
4999.5,1569.2,5409.3,1556.6,5819.1,1544
4999.8,1579.2,5409.7,1570.7,5819.6,1562.2
4999.9,1589.2,5409.9,1584.8,5819.9,1580.4
5000,1599.2,5410,1598.9,5820,1598.6
5000,1609.2,5409.9,1613,5819.9,1616.8
4999.8,1619.2,5409.7,1627.1,5819.7,1634.9
4999.6,1629.2,5409.4,1641.2,5819.2,1653.1
4999.2,1639.2,5408.9,1655.3,5818.6,1671.3
4998.8,1649.2,5408.3,1669.3,5817.8,1689.5
4998.2,1659.2,5407.5,1683.4,5816.8,1707.7
4997.6,1669.1,5406.6,1697.5,5815.6,1725.9
4996.9,1679.1,5405.6,1711.6,5814.3,1744
4996,1689.1,5404.4,1725.6,5812.8,1762.1
4995.1,1699,5403.1,1739.6,5811.1,1780.3
4994,1709,5401.6,1753.7,5809.2,1798.4
4992.9,1718.9,5400,1767.7,5807.1,1816.4
4991.7,1728.8,5398.2,1781.7,5804.8,1834.5
4990.3,1738.8,5396.4,1795.6,5802.4,1852.5
4988.9,1748.7,5394.3,1809.6,5799.8,1870.5
4987.4,1758.5,5392.2,1823.5,5797,1888.5
4985.7,1768.4,5389.9,1837.4,5794,1906.5
4984,1778.2,5387.4,1851.3,5790.9,1924.4
4982.2,1788.1,5384.8,1865.2,5787.5,1942.3
4980.2,1797.9,5382.1,1879,5784,1960.2
4978.2,1807.7,5379.3,1892.8,5780.3,1978
4976.1,1817.5,5376.3,1906.6,5776.4,1995.8
4973.8,1827.2,5373.1,1920.4,5772.4,2013.5
4971.5,1836.9,5369.9,1934.1,5768.2,2031.2
4969.1,1846.6,5366.4,1947.8,5763.8,2048.9
4966.6,1856.3,5362.9,1961.4,5759.2,2066.5
4964,1866,5359.2,1975,5754.4,2084.1
4961.3,1875.6,5355.4,1988.6,5749.5,2101.6
4958.5,1885.2,5351.4,2002.1,5744.4,2119
4955.6,1894.8,5347.4,2015.6,5739.1,2136.5
4952.6,1904.3,5343.1,2029.1,5733.7,2153.8
4949.5,1913.8,5338.8,2042.5,5728.1,2171.1
4946.3,1923.3,5334.3,2055.8,5722.3,2188.4
4943,1932.7,5329.7,2069.2,5716.3,2205.6
4939.6,1942.1,5324.9,2082.4,5710.2,2222.7
4936.2,1951.5,5320,2095.7,5703.8,2239.8
4932.6,1960.9,5315,2108.8,5697.4,2256.8
4929,1970.2,5309.8,2122,5690.7,2273.7
